,sub,baseMult,model,theta,phi,SSE,AIC,BIC,time,clust,ClustName
75,76,4,MP_ppSOE,0.06442251334062098,0.03232038579034771,96.0,21.754728689794387,26.41619537036705,2024.2021958827966,3,IA
76,77,4,MP_ppSOE,0.024801330676493986,0.07374100360555033,390.0,128.29141831163946,132.95288499221212,2136.2375481128693,3,IA
77,78,4,MP_ppSOE,0.004456975542967867,0.0027149488568471987,1509.0,231.1236530045953,235.785119685168,2107.46902012825,3,IA
78,79,4,MP_ppSOE,0.32095639987195035,-0.0949285632715347,174.0,66.95246887854304,71.6139355591157,2090.5339171886444,2,MO
79,80,4,MP_ppSOE,0.1083260235625832,0.006159738591297495,173.0,66.51442732007004,71.1758940006427,2007.3220591545105,2,MO
80,81,4,MP_ppSOE,0.12922654792694854,-0.07708811805795986,286.0,104.71964376054764,109.3811104411203,2253.989835977555,1,GA
81,82,4,MP_ppSOE,0.2069842358160225,-0.09958118948344342,2121.0,256.9971306851548,261.65859736572736,1840.5888600349426,1,GA
82,83,4,MP_ppSOE,0.497270170702573,0.04226698819845423,0.0,-inf,-inf,2260.9810099601746,0,GR
83,84,4,MP_ppSOE,0.029548330323746205,-0.0008282784541182447,359.0,121.99676766334801,126.65823434392068,2018.5161941051485,2,MO
84,85,4,MP_ppSOE,0.4189394412164942,-0.09077595632774807,464.0,141.49549210743425,146.1569587880069,2060.226011991501,0,GR
85,86,4,MP_ppSOE,0.4713084575826971,-0.0983989800470956,779.0,180.8731056244157,185.53457230498842,1524.4333879947662,0,GR
86,87,4,MP_ppSOE,0.20054735711721128,-0.09634040644404387,208.0,80.51716019553899,85.17862687611166,1310.8304960727694,1,GA
87,88,4,MP_ppSOE,0.0926177145072119,0.0038722760786530468,88.0,15.141864038582534,19.8033307191552,1239.8737630844114,2,MO
88,89,4,MP_ppSOE,0.2709662858935541,-0.09754115847408147,297.0,107.587908687244,112.2493753678167,1393.8026759624481,2,MO
89,90,4,MP_ppSOE,0.058668775742699526,-0.010052518452665485,342.0,118.30988215499686,122.9713488355695,1320.8969659805298,2,MO
90,91,4,MP_ppSOE,0.4974106124485776,0.03757693145445877,0.0,-inf,-inf,1402.5319819450378,0,GR
91,92,4,MP_ppSOE,0.25633429064179364,-0.0522452094982747,123.0,40.59027714654257,45.25174382711523,1384.0550739765167,2,MO
92,93,4,MP_ppSOE,0.06887028702422504,-0.060397047853655385,70.0,-2.2500954660098813,2.411371214562781,3472.8497619628906,1,GA
93,94,4,MP_ppSOE,0.037374132523972974,-0.007267009078807676,293.0,106.55738442353596,111.2188511041086,1399.357855796814,2,MO
94,95,4,MP_ppSOE,0.4795410120260418,0.07605205778870475,124.0,41.20566512422164,45.86713180479429,1534.5282299518585,0,GR
95,96,4,MP_ppSOE,0.004829041050078066,0.09017162287122467,5730.0,332.5280476761065,337.1895143566792,1244.792946100235,3,IA
96,97,4,MP_ppSOE,0.10902721509481217,0.04833651641621301,354.0,120.93083153640569,125.59229821697836,1391.8290429115295,3,IA
97,98,4,MP_ppSOE,0.16020633307093915,0.04224996664600792,530.0,151.60291863574756,156.26438531632022,1245.2205238342285,3,IA
98,99,4,MP_ppSOE,0.4170543546236685,-0.09207021964427373,567.0,156.73157322154802,161.39303990212062,1372.5481021404264,0,GR
99,100,4,MP_ppSOE,0.09864927230291536,-0.04995468590071691,441.0,137.63167667219915,142.2931433527718,1478.0909798145294,1,GA
100,101,4,MP_ppSOE,0.02088226259140752,0.07022964935771628,535.0,152.31653890233534,156.978005582908,1454.6207678318024,3,IA
101,102,4,MP_ppSOE,0.4981440113837791,0.08962425451105037,0.0,-inf,-inf,1404.5916650295258,0,GR
102,103,4,MP_ppSOE,0.179824270207062,0.006675768542560729,201.0,77.9154391507286,82.57690583130125,1268.5010409355166,2,MO
103,104,4,MP_ppSOE,0.23610910114609165,-0.09332488883109837,150.0,55.67254848955426,60.33401517012693,1449.7227880954742,2,MO
